temp,ideal,actual
-260,-1.3,-0.786
-240,-1.2,-0.774
-220,-1.1,-0.751
-200,-1,-0.719
-180,-0.9,-0.677
-160,-0.8,-0.627
-140,-0.7,-0.569
-120,-0.6,-0.504
-100,-0.5,-0.432
-80,-0.4,-0.355
-60,-0.3,-0.272
-40,-0.2,-0.184
-20,-0.1,-0.093
0,0,0.003
20,0.1,0.1
25,0.125,0.125
40,0.2,0.2
60,0.3,0.301
80,0.4,0.402
100,0.5,0.504
120,0.6,0.605
140,0.7,0.705
160,0.8,0.803
180,0.9,0.901
200,1,0.999
220,1.1,1.097
240,1.2,1.196
260,1.3,1.295
280,1.4,1.396
300,1.5,1.497
320,1.6,1.599
340,1.7,1.701
360,1.8,1.803
380,1.9,1.906
400,2,2.01
420,2.1,2.113
440,2.2,2.217
460,2.3,2.321
480,2.4,2.425
500,2.5,2.529
520,2.6,2.634
540,2.7,2.738
560,2.8,2.843
580,2.9,2.947
600,3,3.051
620,3.1,3.155
640,3.2,3.259
660,3.3,3.362
680,3.4,3.465
700,3.5,3.568
720,3.6,3.67
740,3.7,3.772
760,3.8,3.874
780,3.9,3.975
800,4,4.076
820,4.1,4.176
840,4.2,4.275
860,4.3,4.374
880,4.4,4.473
900,4.5,4.571
920,4.6,4.669
940,4.7,4.766
960,4.8,4.863
980,4.9,4.959
1000,5,5.055
1020,5.1,5.15
1040,5.2,5.245
1060,5.3,5.339
1080,5.4,5.432
1100,5.5,5.525
1120,5.6,5.617
1140,5.7,5.709
1160,5.8,5.8
1180,5.9,5.891
1200,6,5.98
1220,6.1,6.069
1240,6.2,6.158
1260,6.3,6.245
1280,6.4,6.332
1300,6.5,6.418
1320,6.6,6.503
1340,6.7,6.587
1360,6.8,6.671
1380,6.9,6.754
